Donor_Id,Decimal_Values,Link_Image,Cand_Name,Cand_Id,Cand_Office,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Cand_Street_1,Cand_Street_2,Cand_City,Cand_State,Cand_Zip,funding1,fund2,donations3,gifts4,donat5,transac6,grants7,money8,gift9,gift10,funding11,donations12,donations13
26,239943,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX24111&tabIndex=1,"BIGGAN, JOHN",H8TX24111,H,TX,24,DEM,PO BOX 187,APARTMENT 3,HURST,TX,76053,-,-,55885.00,7443.00,63328.00,-,4000.00,12736.64,-,6500.00,-,-,-
27,296756,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0WI07051&tabIndex=1,"DUFFY, SEAN",H0WI07051,H,WI,7,REP,PO BOX 187,APARTMENT 3,WAUSAU,WI,544020538,1787473.59,-,1647768.12,233997.23,1881765.35,1447650.00,100.00,-,308143.85,-,-,3007.53,9961.72
28,863,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0WV01072&tabIndex=1,"MCKINLEY, DAVID B. MR.",H0WV01072,H,WV,1,REP,147 BETHANY PIKE,APARTMENT 3,WHEELING,WV,26003,386465.14,315000.00,431505.14,19981.00,451486.14,874350.00,750.00,-,-,-,-,-,-
29,383205,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2AZ07070&tabIndex=1,"GRIJALVA, RAUL M",H2AZ07070,H,AZ,3,DEM,PO BOX 1242,APARTMENT 3,TUCSON,AZ,85702,38155.74,4015.59,239942.68,181765.16,421707.84,283500.00,-,-,4440.43,-,-,3489.91,167.64
30,219913,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2CA08164&tabIndex=1,"COOK, PAUL",H2CA08164,H,CA,8,REP,PO BOX 365,APARTMENT 3,YUCCA VALLEY,CA,92284,140257.11,-,296755.63,10979.78,307735.41,650349.00,-,-,12862.53,-,-,7117.00,405.25
31,427198,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX29060&tabIndex=1,"VALENCIA, PEDRO",H8TX29060,H,TX,29,DEM,14360 BELLAIRE BLVD,SUITE 120,HOUSTON,TX,77083,31.89,1458.47,862.69,1710.66,2573.35,-,-,-,-,3025.00,-,-,-
32,63352,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2CT02112&tabIndex=1,"COURTNEY, JOSEPH D",H2CT02112,H,CT,29,DEM,9 TOBIAS COURT,SUITE 120,VERNON,CT,6066,750441.24,-,383205.21,108464.47,491669.68,646325.00,-,-,9923.55,-,-,3224.63,5176.05
33,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2FL08063&tabIndex=1,"DEMINGS, VALDEZ VAL",H2FL08063,H,FL,10,DEM,PO BOX 536926,SUITE 120,ORLANDO,FL,32853,86394.90,10790.44,219913.31,26176.75,246090.06,588577.09,-,-,-,-,-,3684.85,462.13
34,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2FL14053&tabIndex=1,"FRANKEL, LOIS J.",H2FL14053,H,FL,21,DEM,PO BOX 812421,SUITE 120,BOCA RATON,FL,33481,967075.88,-,427197.83,67404.61,494602.44,477829.14,37.73,-,-,-,-,2428.28,8436.32
35,40991,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MN05247&tabIndex=1,"TORRES RAY, PATRICIA",H8MN05247,H,MN,5,DEM,P.O. BOX 6428,SUITE 120,MINNEAPOLIS,MN,55406,3430.08,-,63352.00,26669.00,90021.00,5000.00,-,1949.51,-,-,-,-,-
36,2700,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8AZ08208&tabIndex=1,"SAWDY, STEVEN",H8AZ08208,H,AZ,8,REP,4313 W YORKSHIRE DR,SUITE 120,GLENDALE,AZ,85308,574.00,-,-,-,-,-,-,1000.00,-,-,-,-,-
37,2450,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8GA08118&tabIndex=1,"COOPER, JAMES L III",H8GA08118,H,GA,8,GRE,3388 CAUSEY RD,SUITE 120,LIZELLA,GA,31052,-,-,-,-,-,-,-,-,-,-,-,-,-
38,8000,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8WA03172&tabIndex=1,"GASQUE, DOROTHY",H8WA03172,H,WA,3,DEM,712 NW 72ND ST,SUITE 120,VANCOUVER,WA,98665,22533.15,-,40990.94,44321.15,85312.09,311.50,-,-,-,-,-,-,3373.14
39,435097,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CA10134&tabIndex=1,"BATTISTA, LISA",H8CA10134,H,CA,10,DEM,3430 TULLY ROAD,SUITE 20-441,MODESTO,CA,95350,5187.73,524.79,2700.00,3803.58,6503.58,-,-,-,-,524.79,-,-,-
40,369993,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8LA03086&tabIndex=1,"THOMAS, VERONE A MR",H8LA03086,H,LA,3,DEM,2412 KATHERINE STREET,SUITE 20-441,LAKE CHARLES,LA,70601,27.71,-,2450.00,550.00,3000.00,-,-,-,-,-,-,-,-
41,449390,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8SC05216&tabIndex=1,"MURPHY, LES",H8SC05216,H,SC,5,DEM,9789 CHARLOTTE HWY 400-137,SUITE 20-441,FORT MILL,SC,29707,5135.83,-,8000.00,305.00,8305.00,-,655.00,-,-,-,-,-,-
42,476102,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2IA05072&tabIndex=1,"KING, STEVE MR.",H2IA05072,H,IA,4,REP,3897 ESTHER AVENUE,SUITE 20-441,KIRON,IA,514488003,26220.50,-,435096.61,199044.75,634141.36,234243.00,4250.00,-,-,-,-,224.64,3370.78
43,1031790,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6PA16296&tabIndex=1,"HARTMAN, CHRISTINA M",H6PA16296,H,PA,10,DEM,PO BOX 1576,SUITE 20-441,LANCASTER,PA,17608,25229.65,17000.00,369992.66,80863.77,450856.43,68800.00,149.00,-,4156.07,-,12000.00,12830.59,-
44,68685,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2GA09150&tabIndex=1,"COLLINS, DOUGLAS ALLEN",H2GA09150,H,GA,9,REP,4833 T. MARTIN RD.,SUITE 20-441,GAINESVILLE,GA,30506,853081.48,-,449390.31,44052.04,493442.35,909300.00,663.98,-,9573.58,-,-,2157.11,-
45,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6PA16320&tabIndex=1,"SMUCKER, LLOYD K.",H6PA16320,H,PA,11,REP,248 STEEL WAY,PO BOX 7066,LANCASTER,PA,17601,10160.89,119265.85,476102.20,18408.00,494510.20,980934.85,6500.00,-,386486.54,-,-,23.27,-
46,4000,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2IA01055&tabIndex=1,"BLUM, RODNEY",H2IA01055,H,IA,1,REP,11361 OAKLAND FARMS ROAD,PO BOX 7066,DUBUQUE,IA,52003,87651.40,114119.00,1031789.55,342491.76,1374281.31,611371.89,-,1246.68,327829.94,500000.00,-,232.20,-
47,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MT01224&tabIndex=1,"MOSS, LYNDA BOURQUE",H8MT01224,H,MT,0,DEM,552 HIGHLAND PARK DRIVE,2320 3RD AVENUE NORTH,BILLINGS,MT,59102,-,5954.42,68685.00,20127.00,88812.00,-,-,-,-,19497.85,-,-,96.00
48,13139,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8PA18249&tabIndex=1,"ORTITAY, JASON A",H8PA18249,H,PA,18,REP,220 MAPLE RIDGE DRIVE,2320 3RD AVENUE NORTH,CANONSBURG,PA,15317,-,-,-,-,-,-,-,1545.00,-,-,-,-,-
49,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8SC05257&tabIndex=1,"LOUGH, STEPHEN HARRISON",H8SC05257,H,SC,5,DEM,1809 BROOK DRIVE,2320 3RD AVENUE NORTH,CAMDEN,SC,29020,5655.84,613.69,4000.00,2025.00,6025.00,250.00,-,5454.38,-,3292.98,-,-,-
50,1540,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CA22188&tabIndex=1,"MERRYMAN, WILLIAM 'BILL'",H8CA22188,H,CA,22,LIB,PO BOX 2422,2320 3RD AVENUE NORTH,CLOVIS,CA,93613,-,-,-,-,-,-,-,-,-,-,-,-,-
51,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8PA09081&tabIndex=1,"QUICK, LAURA",H8PA09081,H,PA,9,DEM,PO BOX 193,2320 3RD AVENUE NORTH,CAMPBELLTOWN,PA,17010,-,1841.37,13138.57,1927.85,15066.42,6740.00,-,1300.00,-,1200.00,-,-,-
52,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CA09151&tabIndex=1,"TSARNAS, MIKE",H8CA09151,H,CA,9,OTH,PO BOX 1480,2320 3RD AVENUE NORTH,WOODBRIDGE,CA,95258,-,-,-,-,-,-,-,-,-,-,-,-,-
53,21610,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6RI02284&tabIndex=1,"CAIOZZO, SALVATORE",H6RI02284,H,RI,2,REP,340A ROBIN HOLLOW RD,2320 3RD AVENUE NORTH,WEST GREENWICH,RI,2817,1371.00,1000.00,1540.00,320.00,1860.00,-,-,-,-,3100.00,-,-,-
54,3500,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CA08104&tabIndex=1,"BROWN, YOLANDA",H8CA08104,H,CA,8,DEM,525 E. SEASIDE WAY,SUITE 101-C,LONG BEACH,CA,90802,-,-,-,-,-,-,-,-,-,-,-,-,-
55,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2IL01182&tabIndex=1,"TILLMAN, JIMMY LEE",H2IL01182,H,IL,1,REP,7420 SOUTH VERNON,SUITE 101-C,CHICAGO,IL,60643,-,-,-,-,-,-,-,-,-,-,-,-,-
56,586069,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8TN00360&tabIndex=1,"TOYOS, ROLANDO",S8TN00360,S,TN,0,REP,6205 MAPLETON COURT,SUITE 101-C,BRENTWOOD,TN,37027,-,-,21610.00,6171.00,27781.00,-,-,19729.00,-,-,-,-,1.80
57,1471750,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6TN09431&tabIndex=1,"MANTANONA, NICHOLAS BRENT MR.",H6TN09431,H,TN,9,IND,1830 WALKER AVENUE,SUITE 101-C,MEMPHIS,TN,38114,-,-,3500.00,-,3500.00,-,-,-,-,-,-,-,-
58,1230319,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8NY00199&tabIndex=1,"HAHN, PATRICK JOHN",S8NY00199,S,NY,0,REP,218 BERNSTEIN BLVD,SUITE 101-C,CENTER MORICHES,NY,11934,4441.00,-,-,-,150.00,-,-,4850.00,-,4850.00,-,-,-
59,597718,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6TX02079&tabIndex=1,"BABIN, BRIAN",H6TX02079,H,TX,36,REP,PO BOX 159,SUITE 101-C,WOODVILLE,TX,75979,736915.47,-,586068.68,35509.50,621578.18,557105.00,-,-,-,-,-,4347.72,-
60,31025,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6TX08100&tabIndex=1,"BRADY, KEVIN",H6TX08100,H,TX,8,REP,PO BOX 8277,SUITE 101-C,THE WOODLANDS,TX,773878277,722637.18,-,1471750.00,24089.00,1495839.00,3062477.24,-,-,709886.66,-,-,6596.45,372.01
61,712758,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6TX12060&tabIndex=1,"GRANGER, KAY",H6TX12060,H,TX,12,REP,1701 RIVER RUN,STE 308,FORT WORTH,TX,761076547,421201.00,-,1230319.00,40058.33,1270377.33,798003.04,-,-,-,-,-,2658.12,10237.34
62,8582,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6TX15162&tabIndex=1,"GONZALEZ, VICENTE",H6TX15162,H,TX,15,DEM,121 NORTH 10TH ST,STE 308,MCALLEN,TX,78501,1020610.80,500000.00,597718.47,11308.83,609027.30,702384.46,30.13,-,-,-,-,175.00,-
63,1498466,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8PA00239&tabIndex=1,"SACCONE, RICK",S8PA00239,S,PA,0,REP,404 BOSTON HOLLOW ROAD,STE 308,ELIZABETH,PA,15037,-,-,31025.00,16592.00,47617.00,3500.00,90.00,-,-,-,-,-,-
64,816922,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8PA00262&tabIndex=1,"BARTOS, JEFFREY A",S8PA00262,S,PA,0,REP,239 WINDING WAY,STE 308,MERION STATION,PA,19066,-,-,712758.00,9939.00,722698.00,10000.00,-,28353.00,-,550000.00,-,-,1770.00
65,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NY12145&tabIndex=1,"RABIN, ELIOT MR.",H8NY12145,H,NY,12,REP,401 EAST 81 STREET,STE 308,NEW YORK,NY,10028,296.41,552.92,8581.46,1731.40,10312.86,-,772.22,24358.36,-,-,-,78.13,180.00
66,1019777,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8GA06393&tabIndex=1,"MCBATH, LUCIA KAY MS.",H8GA06393,H,GA,6,DEM,1860 SANDY PLAINS ROAD,SUITE 204-210,MARIETTA,GA,30066,218684.35,2878.03,1498465.82,818274.77,2316740.59,326175.05,5000.00,25.00,47880.34,5848.03,-,2284.27,52.75
67,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6TX19099&tabIndex=1,"ARRINGTON, JODEY COOK",H6TX19099,H,TX,19,REP,3022 21ST ST,SUITE 204-210,LUBBOCK,TX,79493,534870.54,-,816922.47,26546.00,843468.47,499077.73,-,-,21750.69,-,-,3470.13,1000.00
68,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8AL04060&tabIndex=1,"NORRIS, PHILLIP",H8AL04060,H,AL,4,REP,6103 KENLEY WAY,SUITE 204-210,BIRMINGHAM,AL,35242,-,-,-,-,-,-,-,100.00,-,-,-,-,-
69,394212,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MN08043&tabIndex=1,"STAUBER, PETE",H8MN08043,H,MN,8,REP,5078 W ARROWHEAD ROAD,SUITE 204-210,HERMANTOWN,MN,55811,18336.23,-,1019777.41,223787.77,1243565.18,510039.46,-,-,23278.14,-,-,820.24,-
70,0,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX17123&tabIndex=1,"STURM, SCOTT 1974",H8TX17123,H,TX,17,DEM,328 CARDINAL DRIVE,SUITE 204-210,NEW BRAUNFELS,TX,78130,95.00,-,-,95.00,95.00,-,-,-,-,-,-,-,-
71,8046,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX18162&tabIndex=1,"PETERKA, JESSICA LEE",H8TX18162,H,TX,18,IND,24042 LESTERGATE DRIVE,SUITE 204-210,SPRING,TX,77373,(2284.76),-,-,-,-,-,-,-,-,-,-,-,-
72,183145,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8FL27029&tabIndex=1,"ROSEN GONZALEZ, KRISTEN",H8FL27029,H,FL,27,DEM,4618 ALTON ROAD,SUITE 204-210,MIAMI BEACH,FL,33140,23863.12,-,394212.18,26491.47,420703.65,2000.00,-,2720.00,-,-,-,2024.92,-
73,1499140,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MD04213&tabIndex=1,"BLACK, THEREASA MARIE",H8MD04213,H,MD,4,DEM,411 WARFIELD DR,APT 1019,LANDOVER,MD,20785,-,-,-,1796.02,1796.02,-,-,3950.00,-,-,-,-,98.00
74,827070,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX26074&tabIndex=1,"BERSHAD, IRA MR.",H8TX26074,H,TX,26,DEM,5570 FM 423 SUITE 250-1118,APT 1019,FRISCO,TX,75034,53.64,-,8046.02,3206.00,11252.02,-,-,-,-,-,-,-,-
75,348862,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2CA33048&tabIndex=1,"ROYBAL-ALLARD, LUCILLE",H2CA33048,H,CA,40,DEM,PO BOX 4577,APT 1019,DOWNEY,CA,90241,40131.14,-,183145.00,6095.47,189240.47,345800.00,42.37,-,-,-,-,108.00,-
76,1197940,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2CA36439&tabIndex=1,"RUIZ, RAUL DR",H2CA36439,H,CA,36,DEM,77933 LAS MONTANAS RD,APT 103,PALM DESERT,CA,92211,1645990.78,-,1499139.81,426816.12,1925955.93,1213124.00,3333.42,-,17828.55,-,-,7808.94,-
77,145452,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2CA37023&tabIndex=1,"CALVERT, KENNETH S",H2CA37023,H,CA,42,REP,PO BOX 78376,APT 103,CORONA,CA,92877,517900.03,2370.50,827069.87,17297.76,844367.63,704041.39,-,-,-,-,-,7996.64,-
78,1236392,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2CA39078&tabIndex=1,"SANCHEZ, LINDA",H2CA39078,H,CA,38,DEM,PO BOX 59660,APT 103,NORWALK,CA,90652,735140.15,-,348862.08,32550.64,381412.72,1328230.05,-,600.00,-,-,-,20190.78,1643.74
79,1775583,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MI11346&tabIndex=1,"GUPTA, SUNEEL",H8MI11346,H,MI,11,DEM,1263 BROOKWOOD ST,APT 103,BIRMINGHAM,MI,48009,3730.36,200000.00,1197940.30,67027.58,1264967.88,8000.00,-,5400.00,-,200000.00,-,4341.33,-
80,1394817,https://classic.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MI13284&tabIndex=1,"CONYERS, IAN",H8MI13284,H,MI,13,DEM,7342 KIPLING ST,APT 103,DETROIT,MI,48206,215.22,3434.60,145452.44,32403.39,177855.83,21772.74,-,13047.01,-,-,-,101.92,-
